key,source,target
Content/1324957560,"
",
Content/1096837874,"





ARK: Survival Evolved

Featuring the voice talents of:

Madeleine Madden as Helena Walker / HLN-A
David Tennant as Edmund Rockwell
Vin Diesel as Santiago da Costa


Created by Studio Wildcard

Jeremy Stieglitz (@jeremystieglitz)
Lead Designer, Lead Programmer, Development Director, Co-Creative Director, Co-Founder

Jesse Rapczak (@arkjesse)
Art Director, Technical Art Director, Co-Creative Director, Studio Manager, Co-Founder

Alex Williams
Co-Lead Programmer, Co-Lead Designer

Lawrence Boye
Principal Artist, Lead Technical Artist

Dwayne Knight
Senior Engine Programmer

Zane Ard
Senior Game Designer

Colin Tennery
Senior Producer

ARK's music is created and composed by Gareth Coker

Dave Loyd
Senior Technical Producer

Waylon Winn
Lead 3D Artist, Technical Artist

Damien Bull
Environment Director, Lead Level Designer

Navin Supphapholsiri
Senior Producer

Craig Brown
Senior Game Designer

Stephen Baker
Audio Director

Amy Drobeck-Jones
Lead Animator

Catherine Rokitka
Lead Character/Creature Artist

Craig Hoffman
Lead VFX Artist

Scott Marison
Senior Engine Programmer

Mark Mihelich
Senior Engine Programmer

David Sleeper
Senior Engine Programmer

John Bulahan
Producer

Alex Shilts
Senior Gameplay Programmer

Colton Revia
Technical Designer, Senior Gameplay Programmer

Robert Stewart
Senior Gameplay Programmer

Christian Dennerlein
Senior Gameplay Programmer

Mike Towne
Gameplay Programmer

Jim Geldmacher
Senior Gameplay Programmer

Jorge Antonio Robles
Senior Gameplay Programmer, UI/UX Programmer

Joshua Hines
Technical Designer, Gameplay Programmer, Mod Community Manager

Robert Burgess
Technical Designer

Marcel Muller
Technical Designer

Cedric Burkes
Lead Community Manager

Jatheish Karunakaran
Senior Product Manager

Dollie
Product Manager

Jeffrey Seggelke
Lead QA Analyst

Robert Howard
Technical Game Designer, Lead QA Analyst

Peter Fries
Lead Narrative Writer (Genesis 2)

Alex Laurant
Art Director (ARK 2)

David Perfect
Gameplay Programmer

Jorge Jimenez
Build Engineer

David Miller
Senior Technical Level Designer

Jackson Lawrence
Level Designer

Michael Buettner
Senior Character Technical Artist

Gabriel Robbins
Senior Level Designer

Morgan Roberts
Level Designer

Ben Burkart
Senior Level Designer

Joslynn Gabel
Level Designer

Chris Gardner
Web & Video Production Lead

Tianyi Zhao
Gameplay Programmer

Jack Bogaard
Senior Gameplay Programmer 

Marc Diana
VP Partnerships and Marketing

Scott Dossett
Senior Animator

Matt Kenley
Animator

Todd Harry
Senior Animator

Brandon Carpenter
Senior Animator

Jerome Pourchier
Senior 3D Artist

Liam Stones
3D Artist

Trevor Taylor
Senior 3D Artist

Duncan Reed
3D Prop Artist

Chandler Whalen
3D Artist

Noah Presnell
Environment Artist

Patrick Moore
Environment Artist

Katie Chopin
Environment Artist

Steve Holt
Senior Environment Artist

Barry Sundt
Senior Character/Creature Artist

Charles Kim
Senior Character Artist

Andy Chin
Creature Artist

Jimmy Wu
VFX Artist

Jeff Hatchel
Senior VFX Artist

Ethan McCaughey
Senior Technical Artist

Corey Ross
Character Technical Artist

Bristol Lakshas Sanatu
Technical Artist

Chad Greene
Senior Lighting Artist

Alejandro Alvarez
Illustrator, Concept Artist

Jesus Conde
Senior Concept Artist

Caleb Havertape
Concept Artist

Clayton D’mello
Concept Artist

Jesse Raymond
UI/UX Designer

Marco McCreadie
Senior QA Analyst

Lucy Carter
Senior QA Analyst

John Fiorentino
QA Analyst, Assistant Junior Designer

Jake Moriarty
QA Analyst, Assistant Junior Designer

Yue Shen
QA Analyst

eco
QA Analyst

Desmond Bailey
QA Analyst

Debby “DebbySaurus” de Jong
QA Analyst

Adam Graham
Live Operations, Server Administrator

James
Lead Enforcement Analyst

Leo M
Enforcement Analyst

Adrian K
Enforcement Analyst, QA Analyst

Brett W
Enforcement Analyst

Michael J
Enforcement Analyst

Eli Yabut
Assistant Community Manager

Chris Willoughby
Senior Game Programmer/Designer

Jorge Montolio
Technical Designer

Thomas Huynh
Senior Animator

Judd Cohen 
Gameplay Programmer

Derek Holson
Level Designer

Lee Amarakoon
Senior VFX Artist

Nick Rudolph
VFX Artist

Jengy Gomez
Technical Artist

Chris Coleman
Senior Character Artist

Neil Griffiths
Live Operations Engineer

Gabriel Holmes
AI Gameplay Programmer

Martin Wong
Gameplay Programmer

Kenny Lammers
Senior Technical Artist

Henry Dai
Gameplay Programmer

David Noonan
Writer

Kayd Hendricks
Senior Designer, QA Analyst

William Tate
3D Artist

Randal Shaffer
3D Artist

Mike Rodriguez
Senior Environment Artist

Olivier ""Bil"" Leeman
Senior VFX Artist

Jason Zhao
Technical Artist, VFX Artist

Todd Widdup
Senior Technical Artist

Stephen Coan
Technical Artist

Katelyn Malmsten
Junior Technical Artist

Peter Lim
Technical Designer

Travis Howe
Animator

Jeremy Riccione
Animator

Matt Janz
Level Designer

Marc Soskin
Writer

Jennifer Stuber
Community Manager, QA Analyst

Joshua Mosman
Community Support

Ryan Lynch
Enforcement Analyst

Luke Brehm
IT Manager

Lindsay Sweeten
Office Manager, HR

Forest Rapczak
Office Manager, Event and Community Relations

Doug Kennedy
CEO, Co-Founder

Jack Tretton
Strategy Officer

Susan Stieglitz
Business Manager, Co-Founder

Reverb Communications
PR

------------------

ARK: Ultimate Survivor Edition

Developed by Grove Street Games 

Thomas Williamson
CEO

Michael Owen
CTO

Morgan Hughes
COO

Tom DiCesare
Senior Gameplay Programmer

Vince Mohan
QA Lead

Carl Milazzo
Gameplay Programmer

Kyle Criste
Technical Artist

Kristin	Horn	
Environment Artist

Jordan Kleeman
Producer

Trent Fraley
QA Analyst
	
Beck Michaels	
3D Artist

Aaron Ruel
System Engineer

Kahliek Clemmons
3D Artist

David Gregoire
Community Manager

Daniel Gregoire
QA Analyst
	
Holly Owen
Office Manager

Sheamus Cooper
Gameplay Programmer

Kim Lopez
QA Analyst

Justin Huffaker
QA Analyst

Yolanda Patino
Technical Artist

Jack Steinhilber
Community Manager

Emma Bailly
Art Intern

John David Peterson
Build Engineer

Emily Hobbs
Studio Manager

Natalia Wollschlaeger
QA Analyst

Kyle Bess
QA Analyst

Aleah Brown
Art Intern

Brie Cournoyer
Art Intern

------------------

Additional Sound Design & Audio Content 

Bad Words Labs
Dynamedion
Voice Direction support by Wes Gleason, James Baldanzi, and Bang Zoom Studios

------------------

‘The Island' Creature Designs by Ashton Andersen & Virtual Basement LLC

------------------

Additional Art Content

Omar Saretzky
3D Artist

Matthew Benson
FX Artist
Nexodus

Henrique Lopes
3D Artist

Phu Giang
Concept Artist

------------------

Additional Content & Development by Efecto Studios

Eivar Rojas
Project Manager

Sergio Buenaventura
Production

Juan Camilo Ovalle
3D Artist

Esteban Plazas
3D Artist

Yei Bodmer
3D Artist

Felipe Ladino
3D Intern Artist

Érik Páez
3D Artist

Alejandro Henao
3D Artist

Israel Arciniegas
3D Artist Intern

Juan José Jimenez
3D Artist Intern

Mauricio Pachon
Rigger

Sebastián Kowoll
Concept Artist

Miguel Posada
Gameplay Programmer - CTO

Juan Camilo Acosta
Gameplay Programmer

Julian Castillo
Lead Level Designer

Jose Cifuentes
Lead 3D Artist

Diego Mariño
Lead Character Animator

Dahvid Cuevas
Lead Animator

Jonathan Garcia
 Animator 

Andrés Martínez
Lead Environment Concept/UI Artist

Andrés Montealegre
Concept Artist

Andrés Botero
Level Designer

Mauricio Fernández
Level Designer

Érika Rincón
Character Animator

Felix Joleanes
Level Designer 3D Artist

Javier López
Character Animator

Esteban Ariza
3D Artist

Andrés Romero
3D Artist

Andrés Naranjo
3D Artist

Rachid Elajiek
3D Artist

Juan Camilo Ovalle
3D Artist

Sergio Velandia
3D Artist

William Ocampo
CFO

Johana Garzon
Human Resources

------------------

Additional Platform Support by Armature Studio & Abstraction Games

------------------

Co-Development by Instinct Games

Mostafa Hafez
Technical Director/Lead Designer

Mohamed Seif
Lead Programmer

Mohammad Yusuf
Senior Programmer

Ahmed El Meshry
Senior Programmer

Ossama Moussa
Senior Programmer

Mohamed El Ghannam
Programmer

Ahmed Abdelhay
Programmer

Omar Gad
Testing Lead/Game Designer

Youssef Ahmed
Senior QA Analyst

Mohamed Ahmed
QA Analyst

Nada Hafez
QA Analyst

Mai Seif
Administration/HR

------------------

ARK Additional QA Analysts

Luke “GG Fizz” DeLaura
Daniel Eder
Isolde Gaming
Ricardo Neudewitz

------------------

ARK Community Support GM's
 
Bobby Henson
Amber Stamey
Gabriel Hyde
Joshua Evanski
Dan Han
Jacqueline Pablo
Anthony Carrube
Sherwin Chi
Joshua Park
Ryan Magallanes

------------------

ARK Community Playtesters / QA
You're the best!!!

Michael ""//R37ro"" M.
David Oldfield
RitchieSuttie - Aka Alethauk
Ariel ""Alurok"" Herrera
Joe Brammah
Ard Rhys
Anton Shikhov
Avi301
Avios
Brittney ""Ayukyo"" Kingsley
Desi Bailey
Bryce Farnes
BT Gaming
Valery Sinica  ""BullBash""
Jose ""CGRev"" Barraza
Kayla Lemieux
Eli Y
Grant Garrett
Commanding
Dakhar
Alberto ""darqknite"" Aguilera
Darryl Hulson
DemonicHunterr
Divine
eBeing
Davey Blyweert
Evan Garcia
Ian ""Eno"" Bernard
Lucy ""Evza"" Carter
Michael Reurink II 
Trent McCarthy
GamerPerfection
HippieKid
Hygen
Chandler ""Itsr2ghgaming"" Ruffing
Mark Shotwell
Jynn Goughler
Kaedankitty
Kai Cent
Lea ""Katti"" Lucas
Jaskari
Gabriel Lipper
Aaron Kinney
KurisuBaka
Lauren McKenzie
Lucaine Sharp
MalikaPlays
Mr Dolphin
Hunter ""MrMackeyMKayyy"" Gossett
Stephan ""Natsu"" Riedel
Jonatan Martín Garcia
NeoUSMCVet
Ness
TheNetherAngel
""Omega"" van Loon
Sébastien Vinet
Peekaboo
Troy Pepper
Brandan Abbott
Oliver ""Quantor"" Louis
Stephani Rabbitheart
Paige Teel
Samson
Jeff ""Seggzy"" Seggelke
Serendipity
Shadow
Sharice George
Bryan Blackford
Sicco0803
Simego
SimiA
Sir Shade
Riley ""Substitute"" Strickland
Stephen Hall
tamaster
Terry ""Tezling"" Bates
TGL
Garrett Davy
Clement ""Tik"" Hubert
Gustavo Souza
Michael ""Twitchy-Mc"" Brown
Tyler
Chris ""umrotzer"" Reimer
Jaime ""Unis"" Pelletier
Matt Webster
Carlos ""USATwitch""
Vohjiin
Zadira
Emily Sederstrom
Alye
Brent
G0ofy
Jmay
Trixter
Vanamees
KXIII
Jericho
CaptainKangerA
Deadlymage
Exo
Jerhevon
lyricgrr
Brett Weakly
Dan ""Dododex"" Leveille
SparcMX
Joe Grace
ARK Wiki Team

------------------

Extra Life ARK Superfans / Partners

Dakhar
windxiv
X3BelleX3
JCPepper
PMSProxy

------------------

Extra special thanks to Youtube.com/NerdOut for their ARK lyrics tracks.

------------------

THANK YOU ALL FOR PLAYING ARK, SURVIVORS!

www.survivetheark.com


Experience the saga of Helena Walker, Mei Yin Li, Edmund Rockwell, Santiago da Costa, 
and more legends brought to life in ARK: The Animated Series, coming 2023!",
Content/602683638,"
This expedition to Whitesky Peak has been just splendid, top to bottom. The weather's been marvelous, I've found excellent floral samples and the local hunters had more Woolly Rhino horns than you could shake a stick at.

I even managed to find volunteers for my latest experiment! It turns out that it was simply a matter of linguistics: those who are wary of experimental potions are much more receptive to experimental food. Once my Endothermic Paste was rechristened Fria Curry, people were clamoring to test it. It has moderate nutritional value, so it's not technically a deception. It's just favorable language in the name of progress, that's all. Perfectly moral.",
Content/2572537408,"
[Boosts cannot be done in Genesis Simulation]",
Content/4185902309,"
[Jetpack cannot be done in Genesis Simulation]",
Content/3527735896,"
[Punch cannot be used in Genesis Simulation]",
Content/2172022818, ,
Content/2976891608,   Open Map   ,
Content/492646794,   SaveWorld   ,
Content/3534259006,  012201211120113021223<br> <br>   10121201120312211230122113101321<br> <br> 1010121112031223<br>10331202130312111302131212011310122,
