key,source,target
Content/1096837874,"\ n \ n \ n \ n \ n \ n \ nark：生存演变\ n \ n feate feate feate \ n feate shelena walker / hln-a \ ndavid tennant as Edmund Rockwell \ nmund rockwell \ nmadeleine madden as Helena walker / hln-a \ ndavid tennant as Edmund rockwell \ nvin rockwell \ nvin diesel as santiago da costa \ sintiago da costa \ N \ n \ N \ n Creatio由Studio WildCard \ n \ njeremy Stieglitz(@JeremyStieglitz)\ Nlead Designer，首席程序员，开发总监，开发总监，共同创造总监，共同创建总监，\ n \ njesse Rapczak(@arkjesse)(@arkjesse)主任，共同创造总监，工作室经理，联合创始人\ n \ nalex williams \ nco-Lead程序员，共同领导的设计师\ n \ nlawrence boye \ nprincipal Artist，首席技术艺术家，技术艺术家\ n \ ndwayne Knight knight \ nsenior Engine Mentermmer \ nsenior Enginemer \ nsenior Enginemer \ nsenior Enginemer \ n \ nzane ard \ nsenior游戏设计师\ n \ ncolin tennery \ nsenior制作人\ n \ n \ nark的音乐是由Gareth Coker \ n \ n \ n \ ndave Loyd \ nsenior技术生产商\ n \ nwaylon winn \ nwaylon winn \ nleaw winn \ nled winn \ nled winn \ nleaw 3d 3D艺术家，技术生产商， n \ ndamien bull \ nenvironment主管，首席水平设计师\ n \ nnavin supphopholsiri \ nsenior生产者\ n \ n \ n \ ncraig brown \ nsenior游戏设计师\ n \ nstephen baker \ nstephen baker \ naudio导演rokitka \ nlead farne/生物艺术家\ n \ n craig hoffman \ nlead vfx艺术家\ nscott Marison \ nscott Marison \ nsenior Engine Proginnmer \ nmark mihelich \ nmark mihelich \ nsenior Enginemer \ n ddavid sloger \ ndavid sleeker \ nsenior Engine \ nsenior Engroder \ n Jonjono \ n \ nalex shilts \ nsenior游戏程序员\ n \ ncolton revia \ ntechnical Designer，高级游戏玩法程序员\ nrobert Stewart \ nrobert Stewart \ nsenior Gameplay Programmen \ n Christian dennerlein dennerlein \ nsnnerlein \ nsenior grogramplay nmplay n n n g n n ym n n n ym nm INKEMER \ nm INKEMER \ nm INKEMER \ nm INKEMER \ nMIKEN \ njim geldmacher \ nSenior游戏程序员\ n \ njorge antonio robles \ nsenior游戏程序员，UI/UX程序员\ njoshua hines \ njoshua hines \ ntechnical Designer，GamePlay Programmer，Mod Community Manager，Mod Community Manager，Mod Community Manager \ nrobert Burgess Burgess \ Nrobert Burgess \ ntechnicer \ ntechnicer \ ntechnicer \ ntechnicer \ f \ \ \ \ f \ \ \ f \ \ nTechnical Designer

Cedric Burkes
Lead Community Manager

Jatheish Karunakaran
Senior Product Manager

Dollie
Product Manager

Jeffrey Seggelke
Lead QA Analyst

Robert Howard
Technical Game Designer, Lead QA Analyst\ n \ npeter fries \ nlead叙事作家(创世记2)\ n \ nalex laurant \ nart总监(ARK 2)\ n \ n \ ndavid Perfect \ ngameplay Progincermer \ n \ n \ n \ njorge jimenez \ njorge jimenez \ njorge jimenez \ nbuild Engineer \ n \ n jackson Lawrence \ n Level设计师\ n \ nmichael Buettner \ nsenior角色技术艺术家\ n \ n \ n gabriel Robbins \ nsenior级设计师\ n \ n \ n \ nmorgan roberts \ nmorgan Roberts \ nlevel Designer \ n nlevel Designer \ n \ n ben burkart \ n n \ n n n n n n n n s l \ nser \ nser \ nsem级设计nlevel设计师\ n \ nChris gardner \ nweb＆视频制作线索\ n \ n \ ntianyi zhao \ ngameplay程序员\ n \ n jack bogaard \ njack bogaard \ nsenior gameplay programmer \ nmarc diana \ nmarc diana \ nvp diana \ nvp伙伴关系
Matt Kenley
Animator

Todd Harry
Senior Animator

Brandon Carpenter
Senior Animator

Jerome Pourchier
Senior 3D Artist

Liam Stones
3D Artist

Trevor Taylor
Senior 3D Artist
\ nduncan Reed \ n3d Prop Artist \ n \ nChandler Whalen \ n3d艺术家\ n \ nnoah presnell \ nenvironment Artist \ n \ n \ npatrick Moore \ npatrick Moore \ nenvironment \ nenvironment \ nenvironment \ nkatie Artist nbarry sundt \ nsenior角色/生物艺术家\ n \ ncharles kim \ nsenior角色艺术家\ n \ nandy Chin \ nandy Chin \ n Creature Artist \ n \ njimmy wu \ njimmy wu \ nvfx艺术家艺术家\ n \ ncorey ross \ ncharacter技术艺术家\ n \ nbristol lakshas sanatu \ ntechnical Artist \ n \ n \ nchad greene \ nsenior照明艺术家\ n \ n \ n \ nalejandro alvarez \ nalvarez \ nillustrator \ nillustrator，概念艺术家ncaleb havertape \ n concept艺术家\ n \ nclayton d'mello \ nconcept艺术家\ n \ n \ njesse raymond \ nui/ux设计师\ n \ nmarco mcCreadie \ nmarco mcCreadie \ nsenior qa qa qa carter \ nlucy carter \ nlucy carter \ n n senior qa nq nq nq nq nq n qho \ nq n f \ nq n f \ n f \ n f \ Analyst, Assistant Junior Designer

Jake Moriarty
QA Analyst, Assistant Junior Designer

Yue Shen
QA Analyst

eco
QA Analyst

Desmond Bailey
QA Analyst

Debby “DebbySaurus” de Jong\ NQA分析师\ n \ nadam graham \ nlive操作，服务器管理员\ n \ njames \ nLead执行分析师\ n \ n \ n \ nleo m \ nenforecement分析师\ n \ n \ nadrian k \ nadrian k \ nenenforecement，qa Analyst，qA Analyst \ n \ n \ n \ n \ nbrett w \ nbrett w \ nbrets w \ nnenenennenenennenennenen forts 
Michael J
Enforcement Analyst

Eli Yabut
Assistant Community Manager

Chris Willoughby
Senior Game Programmer/Designer

Jorge Montolio
Technical Designer

Thomas Huynh
Senior Animator

Judd Cohen 
Gameplay Programmer \ n \ nderek Holson \ n Level Designer \ n \ nlee amarakoon \ nsenior vfx艺术家\ n \ nnick rudolph \ nnick rudolph \ nvfx艺术家\ n \ n \ n jengy gomez \ njengy gomez \ njengy gomez \ n echnical Artist \ ntechnical Artist Engineer

Gabriel Holmes
AI Gameplay Programmer

Martin Wong
Gameplay Programmer

Kenny Lammers
Senior Technical Artist

Henry Dai
Gameplay Programmer

David Noonan
Writer

Kayd Hendricks
Senior Designer ，QA Analyst \ n \ nwilliam Tate \ n3d艺术家\ n \ nrandal Shaffer \ n3d艺术家\ n \ n \ nmike rodriguez \ nsenior环境艺术家\ n \ n \ n \ n \ nolivier \“ bil \” leeman \ nsenior vfx vfx vfX ，Vfx艺术家\ n \ ntodd widdup \ nsenior技术艺术家\ n \ n \ n stephen coan \ ntechnical Artist \ n \ n \ nkatelyn malmsten \ njunior技术艺术家\ n \ npeter lim \ npeter lim \ ntechnical dechnical dechnical Designer nanimator \ n \ nmatt janz \ n llevel设计师\ n \ nmarc soskin \ n Wrliter \ n \ njennifer stuber \ ncommunity \ ncommunity经理，QA分析师\ njoshua Mosman \ ncomman \ ncomman \ ncommunity Support经理\ n \ nlindsay sweeten \ noffice经理，hr \ n \ n forest rapczak \ noffice经理，事件和社区关系\ n \ n \ n \ ndoug kennedy \ nceo，联合创意\ n \ njack tretton \ njack tretton \ nstrategy官员经理，联合创始人\ n \ n rreverb Communications \ npr \ n \ n ------------------------------- \ n \ nark：终极幸存者版\ n \ n \ n \ n ddevelved由格罗夫街游戏开发\ n \ n \ nthomas williamson \ nceo \ n \ nmichael owen \ ncto \ n \ n \ n \ nmorgan hughes \ ncoo \ ncoo \ n \ n \ n \ n \ n \ n \ n senior gameplay programmer \ n \ n \ n \ n \ nvince mohan \ nvince mohan \ n q n q n q n q n q n q n \ n carl \ n carl \ n carl \ n game \ n game \ n game \ n game criste \ ntechnical艺术家\ n \ nkristin \ thorn \ t \ nenvironment Artist \ n \ n jordan kleeman \ n jodeman \ nproducer \ n \ n \ ntrent fraley \ ntrent fraley \ n trent \ nqa Analyst \ n \ n \ n \ n \ n \ n \ t \ n beck n \ t \ nbeck michaels \ nbeck michaels \ t \ t n \ n \ n \ n \ n \ n \ n \ n \ n \ n \ n \ n \ n \ n \ n \ n NA 

Kahliek Clemmons
3D Artist

David Gregoire
Community Manager

Daniel Gregoire
QA Analyst
	
Holly Owen
Office Manager

Sheamus Cooper
Gameplay Programmer

Kim Lopez
QA Analyst \ n \ njustin huffaker \ nqa分析师\ n \ nyolanda patino \ ntechnical艺术家\ n \ n \ n jack steinhilber \ ncommunity \ ncommunity Manager \ n \ n \ n \ n \ nemma bailly \ nemma bailly \ nart \ nart \ nart \ njohn \ njohn \ njohn david david david peterson \ nbuilder \ nbuild \ nem \ nem \ nemind \ nemind \ nemind \ nemind \ nemind \ nemindy n \ nnatalia wollschlaeger \ nqa分析师\ n \ nkyle bess \ nqa分析师\ n \ naleah brown \ nart \ nart \ nbrie curnoyer \ nbrie curnoyer \ nart --- \ n \ nadditional声音设计和音频内容\ n \ n \ nbad Words \ ndynamedion \ ndynamedion \ nvoice Direction Direction Support we wes Gleason，James Baldanzi和Bang Zoom Studios \ n \ n \ n \ n \ n ----------------------------------------------------------------------------------------------------------------------------------------------------------- ------- \ n \ n'岛''Ashton Andersen＆Virtual Basement LLC \ n \ n \ n ------------------------ \ n \ nadditional艺术内容\ n \ nomar saretzky \ n3d艺术家\ n \ nmatthew benson \ nfx艺术家\ nnexodus \ nnexodus \ n \ n \ nhenrique lopes \ n3d Artist \ n3d Artist -------- \ n \ nAdditional内容与开发由efecto Studios \ n \ neivar rojas \ nproject Manager \ n \ n \ nsergio buenaventura \ n Production \ n \ n \ njuan camilo camilo camilo ovalle ovalle ovalle \ n3d Artist \ n3d艺术家\ n \ nyei bodmer \ n3d艺术家\ n \ nfelipe ladino \ n3d实习生\ n \ n 
érikPáez\ n3d艺术家\ n \ n \ nalejandro henao \ n3d henao \ n3d艺术家Artist Intern

Mauricio Pachon
Rigger

Sebastián Kowoll
Concept Artist

Miguel Posada
Gameplay Programmer - CTO

Juan Camilo Acosta
Gameplay Programmer

Julian Castillo
Lead Level Designer

Jose Cifuentes \ nLead 3D艺术家\ n 
diegoMariño\ nlead角色动画师\ n \ n \ n dahvid cuevas \ nlead Animator \ n \ njonathan garcia \ njonathan garcia \ n Animator \ n Animator \ n n 
andrésMartínezMartínezMartínez\ n -Lead Environment convertion/ui n \ n ui \ n n \ n n \ n n \ n n \ nand \ nandrul \ nandrul \ nandrul \ n \ n \ n \ nandrul \ nandr \ n
Andrés Botero
Level Designer

Mauricio Fernández
Level Designer

Érika Rincón
Character Animator

Felix Joleanes
Level Designer 3D Artist

Javier López
Character Animator

Esteban Ariza
3D Artist\ n 
andrésromero \ n3d艺术家\ n 
andrésnaranjo \ n3d艺术家\ n \ n \ n \ nrachid elajiek \ n3d艺术家\ n \ n \ n ju​​an camilo ovalle \ n3d Artist \ n3d Artist \ n3d Artist \ n \ nsergio velandia \ nsergio velandia \ n3d艺术家njohana garzon \ nhuman Resources \ n \ n --------------------------- \ n \ nadditional平台支持由电枢工作室和抽象游戏\ n \ n \ n ---------- ------------ \ n \ n \ nco开发本能游戏\ n \ n ashostafa hafez \ ntechnical总监/首席设计师/首席设计师\ n \ nmohamed seif \ nlead programmer \ n \ n \ nmohammad yusuf yusuf yusuf yusuf \ nsenior proginmen nAhmed El Meshry
Senior Programmer

Ossama Moussa
Senior Programmer

Mohamed El Ghannam
Programmer

Ahmed Abdelhay
Programmer

Omar Gad
Testing Lead/Game Designer

Youssef Ahmed
Senior QA Analyst\ n
Mohamed Ahmed
QA Analyst

Nada Hafez
QA Analyst

Mai Seif
Administration/HR

------------------

ARK Additional QA Analysts

Luke “GG Fizz” DeLaura
Daniel Eder
Isolde Gaming
Ricardo Neudewitz

------------------

ARK Community Support GM's \ n \ n \ nbobby Henson \ Namber Stamey \ ngabriel Hyde \ njoshua evanski \ ndan han \ n jacqueline pablo \ nanthony Carrube \ nanthony Carrube \ nsherwin chi \ nsherwin chi \ njoshua park \ njoshua park ---- \ n \ n \ nark社区播放器/qa \ nyou'r最好！！！ \ njoe brammah \ nard rhys \ nanton shikhov \ navi301 \ navios \ nbrittney \'ayukyo \“ kingsley \ ndesi bailey \ ndesi bailey \ nbryce \ nbryce \ nbryce \ nbt farne \ nbt gaming \ nvalery sinica sinica \ nvalery sinica \ bullbash \ bullbash \ nk \ nk \ nk \” \ \ neli y \ n grant garrett \ ncommanding \ ndakhar \ nalberto \'darqknite \“ aguilera \ ndarryl hulson \ ndemonichunterr \ ndemonichunterr \ ndivine \ ndivine \ nebeing \ nebeing \ nebeing \ ndavey blyweert \ ndavey blyweert \ nevan garcia \ nian \ nian \ nian \” “卡特\ nmichael ReUrink II \ ntrent McCarthy \ ngamerperfection \ nhippiekid \ nhygen \ nhygen \ nchandler \“ isr2ghgaming \” ruff \ nmark shotwell \ njynnnnjynn gooughler \ nkaedankitty \ nkai \ nkai cent \ nkai cent \ nlele \ nle \ n luc \ n luc \ n luc fuc Naaron Kinney \ nkurisubaka \ nlauren McKenzie \ nlucaine Sharp \ nMalikaplays \ nmr Dolphin \ nhunter \“ Mrmackeymkayyy \” Gossett \ nStephan \ nStephan \“ Natsu \” Natsu \“ Riedel \ njonatanMartínMartínGarcia\ nne \ nne \ nne \ nnee \ nnee \ nnee \ nnee \ nnee \ n neente 
sébastienvinet \ npeekaboo \ nTroy Pepper
Brandan Abbott
Oliver ""Quantor"" Louis
Stephani Rabbitheart
Paige Teel
Samson
Jeff ""Seggzy"" Seggelke
Serendipity
Shadow
Sharice George
Bryan Blackford
Sicco0803
Simego
SimiA
Sir Shade
Riley \ \“替代\” Strickland \ nstephen Hall \ ntamaster \ nterry \“ Tezling \” Bates \ ntgl \ ntgl \ ngarrett \ ngarrett davy \ nclement \ nClement \ nclement \“ tik \” “ umrotzer \” reimer \ njaime \“ unis \” pelletier \ nmatt webster \ ncarlos \ ncarlos \“ usatwitch \” \ nvohjiin \ nvohjiin \ nzadira \ nemily seders seders seders sedersstrom \ nalye \ nalye \ nbrent \ nbrent \ nbrent \ ng0ofi \ njmay \ njmay \ njmay \ njmay \ njmay \ n jmay \ njmays njericho \ ncaptainkangera \ ndeadlymage 
Exo
Jerhevon
lyricgrr
Brett Weakly
Dan ""Dododex"" Leveille
SparcMX
Joe Grace
ARK Wiki Team

------------------
 
Extra Life ARK Superfans / Partners

Dakhar
windxiv
X3BelleX3
JCPepper
PMSProxy

------------------

Extra special thanks to Youtube. com/nerdout的方舟歌词曲目。 com \ n \ n \ nexperience Helena Walker，Mei Yin Li，Edmund Rockwell，Santiago da Costa的传奇，\ nand更多的传说中有ARK：动画系列，即2023年！",
Content/602683638,"
这次天辉峰的远征从头到尾都棒极了。天气一直很好，我已经找到了完美的花卉样品，当地的猎人也获得了大量的披毛犀角。

我甚至找到了下一个实验的志愿者！事实证明这只跟表述方式有关：那些对实验性药剂谨小慎微的人们更容易接受实验性食物。我的恒温糊一改名为菲拉咖喱，人们争先恐后地要求参与测试。它确实具备一定的营养价值，所以严格意义上来说这并不是纯粹的谎言。只是以进步为名采用了更有利的表达方式。一点都没有不道德。",
Content/2572537408,"
[在创世模拟中无法使用疾跑]",
Content/4185902309,"
[在创世模拟中无法使用喷气背包]",
Content/3527735896,"
[在创世模拟中无法使用蓄力拳]",
Content/2172022818,  ,
Content/2976891608, 开放地图 ,
Content/492646794, 保存世界 ,
Content/3534259006, 012201211211113302223 <br> <br> <br> 1012120112112121212121121121131131321 <br> <br> <br> 1010121112112031223 <br> 103331202120213131312112131212121211211212121212121212121212121212121121212121212121211212112121222,
Content/2147153405, 0122012111211113021223 <br> 100013031311131131312121211312121131,
